link_researcher,assunto_keywords,assunto_ids
/pt/auxilios/83825/efeito-dose-resposta-do-fluoreto-em-parametros-relacionados-com-a-resistencia-a-insulina-em-linhagen/,Fluoretos##Resistência à insulina##Predisposição genética para doença##Proteoma##Ratos Sprague-Dawley##Ratos Wistar,152263##1266##8782##321##157241##152226
/pt/auxilios/82465/avaliacao-in-vitro-da-acao-antimicrobiana-de-solucoes-higienizadoras-de-proteses-totais/,Prótese dentária##Higienizadores de dentadura##Produtos com ação antimicrobiana##Placa bacteriana##Microscopia de fluorescência,3465##11044##16420##313##5785
/pt/auxilios/82365/avaliacao-de-lesoes-periapicais-na-ausencia-de-molecula-adaptadora-para-ativacao-de-receptores-toll-/,Patologia bucal##Lesões periapicais##Imuno-histoquímica##Receptores toll-like##Fator 88 de diferenciação mieloide##Camundongos,3635##150095##162220##16638##161016##5333
/pt/auxilios/83059/personalizacao-de-pinos-de-fibra-de-vidro-estudo-de-propriedades-mecanicas-na-interface-restaurador/,Fibra de vidro##Propriedades mecânicas##Cimentos dentários##Pinos dentários##Resistência de união (odontologia),196##1372##8915##159289##11235
/pt/auxilios/82462/estudo-in-vivo-e-in-vitro-da-atividade-de-compostos-isolados-de-propolis-brasileiras-sobre-a-modulac/,Anti-inflamatórios##Própolis##Neutrófilos##Mediadores da inflamação##Receptores toll-like##Integrinas##Quimiotaxia,160860##120##664##1483##16638##5043##7013
/pt/auxilios/82466/estudo-da-acao-desinfetante-do-acido-peracetico-na-precisao-de-modelos-de-gesso-um-estudo-in-vitro/,Materiais para moldagem odontológica##Desinfecção##Elastômeros de silicone##Ácido peracético,11010##3533##153350##19201
/pt/auxilios/82472/terapia-fotodinamica-como-tratamento-complementar-ao-tratamento-nao-cirurgico-da-periodontite-cronic/,Doenças periodontais##Periodontite crônica##Hábito de fumar##Tabagismo##Tratamento periodontal##Terapia fotodinâmica##Laser não cirúrgico,5504##152680##161788##4525##7325##150454##12072
/pt/auxilios/82678/participacao-de-androgenos-na-regulacao-da-resposta-imunoinflamatoria-e-metabolismo-osseo-associados/,Doenças periodontais##Resposta inflamatória##Testosterona##Androgênios##Reparo ósseo,5504##8119##2505##165424##14727
/pt/auxilios/82682/overdentures-mandibulares-retidas-por-um-ou-dois-implantes-um-estudo-clinico-randomizado/,Prótese total##Revestimento de dentadura##Implantes dentários,4600##158829##1367
/pt/auxilios/82719/lascamento-de-porcelana-sobre-zirconia-ensaio-experimental-e-analise-por-elementos-finitos/,Porcelana dentária##Zircônia##Método dos elementos finitos##Resistência dos materiais##Lascamento,19804##159858##423##1378##165022
/pt/auxilios/82739/confiabilidade-e-validade-do-metodo-de-plaqueamento-em-rastro-para-quantificacao-de-colonias-de-espe/,Microbiologia aplicada##Candida##Células-tronco,157858##5074##319
/pt/auxilios/82752/vida-em-fadiga-e-modos-de-falha-de-coroas-com-infraestrutura-em-zirconia-efeito-do-desenho-da-resta/,Coroas dentárias##Cimentação de coroas##Fadiga##Zircônia,149700##149701##6022##159858
/pt/auxilios/82768/estabilidade-eletroquimica-do-ticp-com-superficies-modificadas-por-acido-e-jateamento-com-oxido-de-a/,Implantes dentários##Corrosão dos materiais##Tratamento de superfícies##Titânio,1367##21##7723##1363
/pt/auxilios/82863/influencia-da-irrigacao-ultrassonica-passiva-na-reducao-de-bacterias-e-endotoxinas-dos-canais-radicu/,Instrumentos odontológicos##Equipamento odontológico##Irrigantes do canal radicular##Preparo de canal radicular,148438##3422##153265##160973
/pt/auxilios/82899/avaliacao-dos-efeitos-da-citocina-sofat-em-celulas-osteoblasticas-e-seu-potencial-em-doencas-inflama/,Doenças periodontais##Doenças ósseas##Citocinas##Linfócitos T##RNA mensageiro##Osteoblastos,5504##7730##662##2047##5127##152126
/pt/auxilios/83079/efeito-do-tif4-sobre-hidroxiapatita-e-esmalte-submetidos-a-processos-cariogenicos-e-erosivos-estudo/,Cárie dentária##Esmalte dentário##Erosão dentária##Abrasão dentária##Fluoretos##Tetrafluoreto de titânio,311##2231##152365##14768##152263##160816
/pt/auxilios/82625/efeitos-da-doenca-periodontal-na-remodelacao-ossea-sistemica-em-camundongos/,Doenças periodontais##Periodontite##Perda do osso alveolar##Interleucinas##Osteoporose,5504##872##163533##1093##8148
/pt/auxilios/82276/influencia-do-tratamento-clareador-e-envelhecimento-induzido-sobre-o-brilho-a-cor-a-rugosidade-e-a/,Dentística restauradora##Clareamento de dente##Resinas compostas##Microdureza##Rugosidade superficial,18234##13845##3509##159666##7818
/pt/auxilios/82443/efeito-do-cha-verde-no-processo-de-reparo-alveolar-de-ratos-tratados-com-bifosfonato/,Reparo ósseo##Camellia sinensis##Difosfonatos##Osteonecrose,14727##3233##150198##150197
/pt/auxilios/82451/analise-do-processo-de-reparo-de-defeitos-osseos-criticos-em-calvaria-de-ratos-preenchidos-com-bone/,Defeitos ósseos##Perda do osso alveolar##Reparo ósseo##Biomateriais##Biocerâmicas##Substitutos ósseos##Proteína morfogenética óssea 2,169001##163533##14727##396##161549##7301##153254
/pt/auxilios/82460/efeito-do-tirosol-sobre-fatores-de-virulencia-de-candida-albicans-candida-glabrata-e-streptococcus/,Microbiologia oral##Fatores de virulência##Candida glabrata##Candida albicans##Streptococcus mutans##Placa bacteriana##Cárie dentária##Tirosol,5729##5779##16243##3119##5068##313##311##161012
/pt/auxilios/82605/caracterizacao-eletroquimica-e-mecanica-das-ligas-ti-6al-4v-e-ti-35nb-7zr-5ta-submetidas-a-novos-tra/,Implantes dentários##Ligas metálicas##Titânio##Propriedades de superfície##Propriedades mecânicas##Propriedades químicas##Corrosão dos materiais,1367##762##1363##17668##1372##149617##21
/pt/auxilios/58497/mucosite-oral-aspectos-clinicos-e-impacto-na-qualidade-de-vida-de-pacientes-submetidos-a-transplant/,Epidemiologia bucal##Estomatite##Terapia baseada em transplante de células e tecidos##Células-tronco hematopoéticas##Técnicas imunoenzimáticas##Qualidade de vida,155128##8569##164713##17006##4935##4066
/pt/auxilios/81817/avaliacao-da-adesividade-por-microtomografia-computadorizada-durante-teste-push-out-de-cimento-end/,Cimentos dentários##Cimentos de resina##Adesividade##Microtomografia,8915##152989##152969##19776
/pt/auxilios/81755/efeito-anti-inflamatorio-sinergico-dos-peptideos-humanos-sinteticos-hbd-3-e-ll-37-em-modelo-de-co-cu/,Microbiologia oral##Porphyromonas gingivalis##Periodontite crônica##Placa bacteriana##beta-Defensinas##Catelicidinas##Células epiteliais,5729##7512##152680##313##154390##156598##2626
/pt/auxilios/58793/avaliacao-qualitativa-e-quantitativa-da-instrumentacao-e-obturacao-de-canais-radiculares-achatados-u/,Instrumentos endodônticos##Obturação do canal radicular##Microtomografia,153084##12995##19776
/pt/auxilios/58802/efeitos-da-fototerapia-com-laser-em-baixa-intensidade-associada-a-scaffold-com-incorporacao-de-bmp4/,Dentística##Terapia a laser de baixa intensidade##Terapia baseada em transplante de células e tecidos##Células-tronco da polpa dentária##Proteína morfogenética óssea 4##Hidrogéis,7616##10351##164713##164669##161183##18
/pt/auxilios/60658/estudo-in-vivo-do-papel-dos-receptores-ccr2-e-ccr5-na-resposta-imune-e-inflamatoria-apos-implantacao/,Resposta inflamatória##Resposta imune##Biomateriais##Antígenos de histocompatibilidade classe II##Citocinas##Quimiocinas CC##Receptores CCR2##Receptores CCR5##Modelos animais,8119##160049##396##13795##662##152798##178374##150340##4755
/pt/auxilios/58333/fitoterapico-equisetum-giganteum-e-estomatite-protetica-estudo-da-acao-antimicrobiana-antiaderente/,Patologia bucal##Candida albicans##Estomatite sob prótese##Células epiteliais##Monócitos##Fitoterapia##Equisetum##Citotoxicidade,3635##3119##17564##2626##2260##643##158705##6595
/pt/auxilios/58334/avaliacao-clinica-da-efetividade-de-geis-clareadores-de-baixa-concetracao-no-clareamento-em-consulto/,Dentística##Estética dentária##Clareamento de dente##Peróxido de hidrogênio##Sensibilidade da dentina,7616##16053##13845##3433##7677
/pt/auxilios/58486/efeito-das-oncoproteinas-virais-e6-e-e7-do-hpv-16-na-resposta-de-celulas-t-de-pacientes-com-carcinom/,Oncologia##Neoplasias orofaríngeas##Carcinoma de células escamosas##Papillomavirus humano 16##Oncoproteínas##Linfócitos T,4867##156119##1032##149666##13736##2047
/pt/auxilios/58488/estudo-da-resistencia-da-uniao-e-da-interface-adesiva-quanto-a-degradacao-da-uniao-de-pinos-de-fibra/,Materiais dentários##Pinos dentários##Fibra de vidro##Resistência de união (odontologia)##Obturação do canal radicular##Infiltração dentária,222##159289##196##11235##12995##10933
/pt/auxilios/58509/atividade-antifungica-da-fracao-enriquecida-em-fenolicos-de-buchenavia-tomentosa-e-de-algumas-substa/,Antifúngicos##Candidose##Fitoterapia##Buchenavia tomentosa##Ciclodextrinas,3848##7541##643##159284##5100
/pt/auxilios/58776/biocompatibilidade-e-capacidade-de-mineralizacao-dos-cimentos-experimentais-sealepox-e-sealepox-rp-c/,Cimentos dentários##Biomateriais##Hidróxido de cálcio##Mineralização dentinária##Histologia##Imuno-histoquímica,8915##396##5495##163705##158035##162220
/pt/auxilios/58136/avaliacao-de-diferentes-protocolos-de-aplicacao-da-terapia-fotodinamica-antimicrobiana-apdt-no-tra/,Periodontite##Raspagem dentária##Resposta inflamatória##Terapia fotodinâmica##Terapia a laser de baixa intensidade##Fotoquimioterapia,872##153198##8119##150454##10351##355
/pt/auxilios/58137/caracterizacao-e-avaliacao-das-propriedades-mecanicas-e-antimicrobianas-de-resinas-acrilicas-odontol/,Reabilitação bucal##Anti-infecciosos##Placa bacteriana##Vanadatos##Resinas acrílicas##Propriedades mecânicas,11008##162377##313##4968##8052##1372
/pt/auxilios/58145/monitoramento-da-progressao-da-doenca-periodontal-atraves-da-analise-de-marcadores-moleculares/,Doenças periodontais##Tratamento periodontal##Biomarcadores##Citocinas##Técnicas de diagnóstico molecular##Reação em cadeia da polimerase em tempo real##ELISA,5504##7325##1891##662##6547##160909##4570
/pt/auxilios/58147/microscopio-operatorio-no-diagnostico-de-carie-dentaria-em-criancas-com-fissura-labiopalatina/,Fenda labial##Fissura palatina##Cárie dentária##Diagnóstico clínico,150045##19362##311##3397
/pt/auxilios/58159/efeito-fotodinamico-da-curcumina-no-tratamento-da-periodontite-induzida-em-ratos-estudo-histomorfom/,Periodontite##Curcumina##Fármacos fotossensibilizantes##Terapia fotodinâmica##Imuno-histoquímica,872##17688##117242##150454##162220
/pt/auxilios/58167/expressao-de-fatores-de-virulencia-de-diferentes-especies-de-candida-confiabilidade-dos-metodos-mic/,Candidose##Candida##Curcumina##Fatores de virulência##Terapia fotodinâmica,7541##5074##17688##5779##150454
/pt/auxilios/58169/funcionalizacao-de-gdf-5-em-superficie-nanoestruturada-de-titanio-estudos-in-vitro-e-in-vivo/,Cultura de células##Fatores de crescimento##Ósseointegração##Titânio,4904##3369##3597##1363
/pt/auxilios/58237/efeito-do-raloxifeno-na-lesao-periapical-de-ratas-ovarectomizadas/,Raloxifeno##Terapia de reposição hormonal##Reabsorção óssea##Osteoporose##Lesões periapicais,20527##679##17861##8148##150095
/pt/auxilios/58238/dor-ocupacional-e-disturbios-osteomusculares-o-futuro-dos-profissionais-da-odontologia/,Saúde do trabalhador##Doenças ocupacionais##Transtornos traumáticos cumulativos##Dor##Engenharia humana,4309##15275##151033##2655##158729
/pt/auxilios/58240/associacao-de-osso-alogeno-cortico-medular-fresco-congelado-e-osso-mineral-bovino-para-aumento-de-re/,Implantes osseointegrados##Transplante homólogo##Mandíbula,6051##8246##967
/pt/auxilios/58241/analise-da-osteogenese-citotoxicidade-e-genotoxicidade-de-substitutos-osseos-em-osteoblastos-deriva/,Substitutos ósseos##Osteogênese##Citotoxicidade##Genotoxicidade,7301##1361##6595##6017
/pt/auxilios/58243/efeito-de-um-gel-a-base-de-cranberry-sobre-a-dentina-submetida-a-erosao-dentaria/,Odontopediatria##Erosão dentária##Dentina##Cranberry##Sistemas de prevenção odontológica##Metaloproteinases da matriz,158162##152365##5663##163610##165724##2786
/pt/auxilios/58246/avaliacao-in-situ-do-efeito-do-laser-de-co2-associado-ou-nao-ao-fluor-na-inibicao-da-progressao-da/,Dentística##Erosão dentária##Esmalte dentário##Lasers de gás##Dióxido de carbono##Flúor##Microscopia eletrônica de varredura,7616##152365##2231##7421##3260##312##7819
/pt/auxilios/58251/papel-antimicrobiano-e-imunologico-de-peptideos-cationicos-na-prevencao-da-carie-precoce-da-infancia/,Cárie dentária##Cariogênicos##Peptídeos catiônicos antimicrobianos##Anti-infecciosos##Toxicidade##Crianças,311##159338##16802##162377##5392##1097
/pt/auxilios/58256/interacao-entre-streptococcus-mutans-e-lactobacillus-acidophilus-com-candida-albicans-formacao-de-b/,Microbiologia oral##Candida albicans##Lactobacillus acidophilus##Streptococcus mutans,5729##3119##152262##5068
/pt/auxilios/58257/comparacao-in-vivo-da-biocompatibilidade-de-amostras-com-superficie-porosa-confeccionadas-com-difere/,Histologia oral##Implantes osseointegrados##Ósseointegração##Porosidade##Ligas metálicas##Titânio##Microtomografia por raio X,148893##6051##3597##2546##762##1363##169196
/pt/auxilios/58264/avaliacao-das-inclinacoes-dentarias-de-casos-tratados-com-braquetes-autoligados-por-meio-da-tomograf/,Ortodontia corretiva##Braquetes##Tomografia computadorizada de feixe cônico,11988##150276##20383
/pt/auxilios/58270/engenharia-de-tecidos-efeito-da-associacao-entre-celulas-e-bio-sca-sobre-o-reparo-de-defeitos-osseo/,Engenharia tecidual##Defeitos ósseos##Reparo ósseo##Biomateriais##Biovidro##Células-tronco mesenquimais##Osteoblastos,148562##169001##14727##396##166226##16463##152126
/pt/auxilios/58348/expressao-proteica-das-enzimas-metabolizadoras-de-drogas-no-carcinoma-epidermoide-de-boca-em-pacient/,Estomatologia##Neoplasias bucais##Carcinoma de células escamosas##Expressão gênica##Análise de sequência com séries de oligonucleotídeos##Citocromo P-450##Aldeído desidrogenase,10877##1031##1032##874##16352##845##151350
/pt/auxilios/58363/analise-de-perda-de-heterozigose-em-leucoplasias-orais-e-sua-correlacao-com-aspectos-histologicos-e/,Patologia bucal##Neoplasias bucais##Leucoplasia bucal##Perda de heterozigosidade##Imuno-histoquímica,3635##1031##149347##7575##162220
/pt/auxilios/57747/imunoexpressao-da-klk4-e-mmp20-em-tumores-odontogenicos-infiltrativos-malignos-e-benignos/,Patologia bucal##Neoplasias bucais##Tumores odontogênicos##Metástase neoplásica##Expressão de proteínas##Ameloblasto,3635##1031##14772##2442##159837##152237
/pt/auxilios/57833/impacto-do-bruxismo-do-sono-na-musculatura-mastigatoria-avaliacao-eletromiografica-ultrassonografi/,Bruxismo do sono##Músculos mastigatórios##Eletromiografia##Força de mordida##Qualidade de vida##Ultrassom,156958##153877##11027##19772##4066##10931
/pt/auxilios/57840/fluxo-salivar-capacidade-tampao-e-composicao-bioquimica-da-saliva-de-criancas-e-adolescentes-com-li/,Linfoma##Doença de Hodgkin##Proteínas e peptídeos salivares##Xerostomia##Adolescentes,5996##8382##162717##7542##1098
/pt/auxilios/57895/caracterizacao-de-um-novo-sistema-de-dois-componentes-com-provavel-funcao-na-adaptacao-de-streptococ/,Microbiologia oral##Saliva##Streptococcus##Expressão gênica##Genomas##Virulência,5729##4724##5764##874##1740##875
/pt/auxilios/58158/estudo-comparativo-de-dois-metodos-para-a-estimativa-do-sexo-etnia-e-idade-usando-medidas-da-mandib/,Odontologia legal##Antropologia física##Antropologia forense##Determinação da idade pelo esqueleto##Mandíbula,148971##15480##148416##10346##967
/pt/auxilios/56346/influencia-da-incorporacao-de-um-monomero-antimicrobiano-a-base-de-triclosan-em-um-composito-resino/,Triclosan##Anti-infecciosos##Restauração dentária##Cárie dentária##Citotoxicidade##Polimerização,150268##162377##6718##311##6595##2130
/pt/auxilios/56769/funcao-muscular-e-capacidade-mastigatoria-de-pacientes-obesos-morbidos-com-indicacao-a-cirurgia-bari/,Reabilitação bucal##Obesidade mórbida##Mastigação##Músculos mastigatórios##Qualidade de vida##Cirurgia bariátrica,11008##19680##17669##153877##4066##7589
/pt/auxilios/56770/avaliacao-da-obesidade-na-prevalencia-e-gravidade-das-disfuncoes-temporomandibulares/,Obesidade##Disfunção temporomandibular##Dor facial##Fatores de risco,33##148037##149596##1076
/pt/auxilios/56779/resistencia-mecanica-tempo-de-vida-modo-de-falha-e-resistencia-de-uniao-ao-cimento-resinoso-de-est/,Porcelana dentária##Zircônia tetragonal policristalina estabilizada com ítrio (Y-TZP)##Tratamento de superfícies##Rugosidade superficial##Resistência dos materiais##Fadiga dos materiais,19804##162899##7723##7818##1378##1241
/pt/auxilios/56782/terapia-fotodinamica-antimicrobiana-no-tratamento-da-periodontite-periapical-induzida-experimentalme/,Periodontite periapical##Lesões periapicais##Terapia fotodinâmica##Hidróxido de cálcio##Anti-infecciosos##Canal radicular,161344##150095##150454##5495##162377##4844
/pt/auxilios/56800/avaliacao-da-permeabilidade-dentinaria-e-da-resistencia-de-uniao-a-dentina-imediata-e-a-longo-prazo/,Adesivos dentinários##Resistência de união (odontologia)##Permeabilidade da dentina##Microscopia confocal,15631##11235##6242##3273
/pt/auxilios/56878/avaliacao-da-influencia-do-cloreto-de-betanecol-no-fluxo-e-composicao-salivar-de-pacientes-irradiado/,Estomatologia##Neoplasias de cabeça e pescoço##Radioterapia##Xerostomia##Betanecol,10877##2990##3133##7542##152935
/pt/auxilios/56930/papel-das-celulas-th17-e-t-regulatorias-tregs-na-imunomodulacao-de-lesoes-periapicais-experimentai/,Lesões periapicais##Reabsorção óssea##Linfócitos T reguladores##Células Th17##Resposta imune##Resposta inflamatória##Citocinas,150095##17861##10448##149197##160049##8119##662
/pt/auxilios/56573/efeitos-do-uso-de-probiotico-no-tratamento-da-doenca-periodontal-experimentalmente-induzida-em-anima/,Imunossupressão##Quimioterapia,6957##4920
/pt/auxilios/56413/avaliacao-do-reparo-osseo-na-interface-osso-implante-em-ratas-com-osteoporose-induzida-tratadas-co/,Reparo ósseo##Osteoporose##Transplante ósseo##Biomecânica##Raloxifeno##Alendronato##Imuno-histoquímica,14727##8148##7117##424##20527##149419##162220
/pt/auxilios/56414/reducao-da-dose-de-irradiacao-em-tecidos-sadios-utilizando-o-estabilizador-bucal-em-pacientes-submet/,Odontologia clínica##Estomatologia##Neoplasias de cabeça e pescoço##Radioterapia,151235##10877##2990##3133
/pt/auxilios/56415/peptideos-salivares-em-relacao-a-alteracoes-locais-e-sistemicas/,Medicina bucal##Doenças periodontais##Diabetes mellitus##Saliva##Peptídeos##Testes imunológicos,7984##5504##997##4724##184##1055
/pt/auxilios/56460/avaliacao-do-efeito-osteoindutivo-do-pdgf-bb-associado-a-diferentes-carreadores-na-regeneracao-ossea/,Cirurgia bucomaxilofacial##Enxerto ósseo##Transplante autólogo##Regeneração óssea##Reabsorção óssea##Hidroxiapatita,158599##6965##1622##3451##17861##11342
/pt/auxilios/56497/expressao-de-vegf-e-fgf2-liberados-durante-a-remodelacao-ossea-apos-a-expansao-rapida-da-maxila-e-ap/,Remodelação óssea##Vascularização pulpar##Receptores de fatores de crescimento do endotélio vascular##Fator 2 de crescimento de fibroblastos##Expansão rápida da maxila##RNA mensageiro,20574##158466##151306##8639##157369##5127
/pt/auxilios/56786/progressao-de-culturas-de-celulas-osteogenicas-sobre-ceramicas-bioativas-a-base-de-zirconia-e-fluora/,Cultura de células##Diferenciação celular##Materiais cerâmicos##Osteoblastos##Zircônia##Apatitas,4904##883##232##152126##159858##18052
/pt/auxilios/56180/remineralizacao-ou-infiltracao-de-carie-qual-a-melhor-abordagem-tendo-em-vista-a-resistencia-de-uni/,Dentística restauradora##Adesivos dentinários##Resistência de união (odontologia)##Resinas compostas##Remineralização dentária##Esmalte dentário##Cárie dentária,18234##15631##11235##3509##149251##2231##311
/pt/auxilios/56195/avaliacao-da-adaptacao-marginal-interna-da-resistencia-a-fratura-pos-ciclagem-termomecanica-e-das/,Prótese dentária##Prótese parcial fixa##Prótese sobre implantes ósseointegrados##Zircônia##CAD/CAM##Adaptação marginal dentária##Ciclagem térmica (odontologia),3465##7630##149694##159858##15449##159810##19742
/pt/auxilios/56196/viabilidade-e-bioatividade-celular-de-materiais-a-base-de-cimento-portland-em-cultura-primaria-de-ce/,Materiais dentários##Toxicidade##Cultura primária de células##Nanopartículas##Cimento Portland##Óxido de nióbio##Sobrevivência celular,222##5392##160843##64##8549##14754##2302
/pt/auxilios/56244/estudo-clinico-randomizado-da-terapia-fotodinamica-no-tratamento-periodontal-de-pacientes-em-aids-e/,Periodontia##Periodontite##Tratamento periodontal##Terapia fotodinâmica##Terapia antirretroviral de alta atividade##HIV,157912##872##7325##150454##160209##292
/pt/auxilios/56255/efeito-de-adicao-de-agente-fluorescente-rodamina-b-a-sistemas-adesivos-nao-simplificados-analise/,Dentística##Rodaminas##Adesivos dentinários##Microdureza##Microtração,7616##13131##15631##159666##159861
/pt/auxilios/56294/participacao-das-proteinas-osseas-morfogeneticas-2-e-4-endogenas-na-expressao-do-fenotipo-osteoblast/,Implantodontia##Ósseointegração##Titânio##Proteínas morfogenéticas ósseas##Osteoblastos##Transdução de sinais##Nanotopografia,1365##3597##1363##7319##152126##167949##149108
/pt/auxilios/56342/fotobiomodulacao-da-expressao-de-citocinas-por-celulas-pulpares-irradiadas-com-led-855-nm/,Odontopediatria##Fototerapia##Estimulação luminosa##LED##Infravermelho##Citocinas##Tecido pulpar,158162##3322##13019##17961##3706##662##16448
/pt/auxilios/56345/avaliacao-da-associacao-do-fosfopeptideo-de-caseinafosfato-de-calcio-amorfo-eou-da-lisozima-lacto/,Dentística##Cárie dentária##Cimentos dentários##Cimentos de ionômeros de vidro##Lactoferrina##Lactoperoxidase##Fosfolipídeos##Fosfatos de cálcio##Muramidase,7616##311##8915##3746##150239##157833##1948##19900##161372
/pt/auxilios/56015/influencia-de-diferentes-solucoes-irrigadoras-associadas-a-terapia-fotodinamica-estudo-in-vitro-e-i/,Terapia fotodinâmica##Citotoxicidade##Irrigantes do canal radicular,150454##6595##153265
/pt/auxilios/56016/distribuicao-das-tensoes-em-proteses-protocolo-mandibulares-com-diferentes-extensoes-de-cantilever-e/,Implantes dentários##Prótese dentária##Prótese mandíbular##Biomecânica##Ensaios da estrutura dos materiais,1367##3465##157597##424##11795
/pt/auxilios/56019/avaliacao-de-propriedades-fisico-quimicas-mecanicas-e-antimicrobianas-do-mta-e-cimento-portland-ass/,Cimentos dentários##Cimento Portland##Zircônia##Hidroxiapatita##Anti-infecciosos##Propriedades físico-químicas##Propriedades mecânicas,8915##8549##159858##11342##162377##163990##1372
/pt/auxilios/56086/avaliacao-in-vitro-do-efeito-do-clareamento-dental-sobre-a-fluorescencia-dos-componentes-organicos-e/,Dentística##Clareamento de dente##Fluorescência##Esmalte dentário##Dentina##Peróxido de hidrogênio,7616##13845##2245##2231##5663##3433
/pt/auxilios/56092/correlacao-entre-prognostico-de-melanoma-maligno-humano-e-expressao-da-enzima-acido-graxo-sintase-e/,Biologia molecular##Melanoma##Complexo ácido graxo sintetase##Perfilação da expressão gênica##Expressão de proteínas##Proteínas angiogênicas##Prognóstico,157808##865##13898##10929##159837##157024##737
/pt/auxilios/56093/influencia-da-soldagem-laser-ou-tig-e-ciclagem-mecanica-sobre-desajustes-marginais-bi-e-tridimens/,Próteses e implantes##Parafusos protéticos##Ensaios mecânicos##Titânio##Torque##Soldagem TIG,1432##161434##150720##1363##148253##18080
/pt/auxilios/56133/avaliacao-citogenetica-dos-danos-causados-pelo-tabagismo-a-mucosa-bucal/,Patologia bucal##Estomatologia##Hábito de fumar##Mucosa bucal##Aneuploidia##Metilação de DNA##Carcinogênese bucal##Citodiagnóstico,3635##10877##161788##7477##151320##5573##5593##152742
/pt/auxilios/56136/influencia-das-unidades-fotoativadoras-e-do-material-restaurador-indireto-sobre-a-dureza-e-o-modulo/,Dentística restauradora##Cimentos dentários##Cimentos de resina##Módulo de elasticidade##Cura luminosa de adesivos dentários##Microdureza,18234##8915##152989##6464##19741##159666
/pt/auxilios/56137/deteccao-de-fraturas-radiculares-verticais-em-radiografias-convencionais-e-digitais/,Radiografia dentária digital##Diagnóstico por imagem##Fraturas dos dentes,8402##804##153355
/pt/auxilios/56138/citotoxicidade-genotoxicidade-resistencia-adesiva-e-microdureza-de-oito-cimentos-endodonticos-um/,Cimentos endodônticos##Genotoxicidade##Citotoxicidade##Microdureza##Propriedades físico-químicas,20501##6017##6595##159666##163990
/pt/auxilios/56141/avaliacao-de-tratamentos-de-superficie-ceramica-para-cimentacao-adesiva/,Dentística##Porcelana dentária##Zircônia##Resistência de união (odontologia)##Adesividade,7616##19804##159858##11235##152969
/pt/auxilios/55006/overdentures-efeito-do-desajuste-marginal-e-do-pilar-protetico-nas-tensoes-induzidas-ao-sistema-imp/,Prótese dentária##Parafusos ósseos##Torque##Titânio,3465##8212##148253##1363
/pt/auxilios/55128/elaboracao-e-estudo-da-efetividade-de-um-metodo-de-avaliacao-de-postura-ergonomica-de-trabalho-em-es/,Saúde ocupacional##Ergonomia,2938##238
/pt/auxilios/55174/avaliacao-da-acao-de-pasta-experimental-a-base-de-acetazolamida-para-o-tratamento-endodontico-de-den/,Reimplante dentário##Reabsorção radicular##Acetazolamida##Luxação dentária##Hidróxido de cálcio,153201##18500##18501##152259##5495
/pt/auxilios/55655/estudo-da-participacao-dos-reguladores-de-transcricao-genica-vicrk-e-covr-na-susceptibilidade-de-str/,Fatores de virulência##Streptococcus mutans##Streptococcus sanguinis##Transcrição genética,5779##5068##162889##175921
/pt/auxilios/54941/estudo-citologico-da-mucosa-bucal-de-portadores-do-virus-hiv/,Patologia bucal##AIDS##HIV##Mucosa bucal##Biologia celular##Morfometria,3635##5895##292##7477##817##734
/pt/auxilios/55125/avaliacao-de-adesivos-dentinarios-resistencia-da-uniao-e-atividade-antimicrobiana/,Anti-infecciosos##Resistência de união (odontologia)##Dentística##Adesivos dentinários,162377##11235##7616##15631
/pt/auxilios/55152/avaliacao-de-materiais-instrumentos-e-protocolos-de-irrigacao-empregados-no-tratamento-endodontico/,Instrumentos endodônticos,153084
/pt/auxilios/55338/efeito-do-resveratrol-no-modelo-de-periodontite-experimental-induzida-em-ratos-avaliacao-morfometri/,Perda do osso alveolar##Resveratrol##Periodontite,163533##149174##872
/pt/auxilios/55346/is-there-a-salivary-biomarker-for-periodontitis-associated-with-weight-reduction-therapies/,Obesidade##Cirurgia bariátrica##Doenças periodontais##Saliva##Biomarcadores,33##7589##5504##4724##1891
/pt/auxilios/54755/quantificacao-in-vivo-e-in-vitro-da-remineralizacao-de-lesoes-de-mancha-branca-adjacentes-ao-braquet/,Braquetes##Ortodontia##Cárie dentária##Remineralização dentária##Laser (aparelho cirúrgico),150276##158147##311##149251##4847
/pt/auxilios/54936/avaliacao-nutricional-salivar-mastigatoria-e-da-qualidade-de-vida-de-criancas-pre-puberes-com-sobr/,Fisiologia oral##Antropometria##Mastigação##Sistema estomatognático##Ansiedade##Obesidade##Pré-adolescentes##Qualidade de vida,148824##7655##17669##150303##660##33##12655##4066
/pt/auxilios/54937/compositos-bioativos-efeito-de-diferentes-compostos-de-fosfato-de-calcio-e-da-formulacao-da-matriz/,Materiais compósitos##Fosfatos de cálcio##Íons##Propriedades mecânicas,260##19900##1631##1372
/pt/auxilios/54940/triagem-de-plantas-provenientes-do-pantanal-brasileiro-com-atividade-antimicrobiana-contra-enterobac/,Produtos biológicos##Plantas medicinais##Anti-infecciosos##Enterobacteriaceae##Pseudomonas##Staphylococcus##Pantanal,17508##600##162377##1580##5279##6087##3269
