link_researcher,assunto_keywords,assunto_ids
/pt/auxilios/20258/analise-de-corrosao-e-fratura-de-implantescomponentes-proteicos-de-titanio-cp-apos-serem-submeti/,Titânio##Próteses e implantes##Biomateriais##Fluoretos##Corrosão##Propriedades mecânicas,1363##1432##396##152263##1000##1372
/pt/auxilios/20431/avaliacao-clinica-da-utilizacao-das-proteinas-derivadas-da-matriz-do-esmalte-em-lesoes-de-bifurcacao/,Esmalte dentário##Dente molar##Cirurgia bucomaxilofacial,2231##18235##158599
/pt/auxilios/20430/o-efeito-dos-habitos-alimentares-indigenas-aldeias-do-alto-xingu-na-musculatura-do-sistema-estomat/,Força de mordida##Sistema estomatognático,19772##150303
/pt/auxilios/20120/efeito-da-termociclagem-na-resistencia-de-uniao-entre-dente-artificial-e-resina-acrilica-para-base-p/,Dente artificial##Resinas acrílicas##Resistência de união (odontologia)##Ciclagem térmica (odontologia)##Prótese total,11869##8052##11235##19742##4600
/pt/auxilios/20245/avaliacao-in-vivo-dos-efeitos-de-um-dispositivo-de-liberacao-lenta-de-metronidazol-para-tratamento-d/,Bolsa periodontal##Doenças periodontais##Metronidazol,7327##5504##10716
/pt/auxilios/20404/influencia-da-sacarose-na-diversidade-genotipica-de-estreptococos-do-grupo-mutans-detectados-por-ap-/,Sacarose##Streptococcus mutans##Placa bacteriana##Genótipo##Estudo in situ,3259##5068##313##151581##165961
/pt/auxilios/20279/influencia-de-drogas-nao-esteroidais-nao-especificas-e-especificas-para-cox-2-no-processo-de-reparo/,Imuno-histoquímica##Ciclo-oxigenase 2##Reparo ósseo##Anti-inflamatórios,162220##13669##14727##160860
/pt/auxilios/20294/comparacao-e-avaliacao-da-influencia-da-imersao-de-acrilicos-plastificados-e-elastomeros-de-silicone/,Prótese total##Propriedades mecânicas##Produtos químicos##Higienização##Biofilmes,4600##1372##14271##170104##733
/pt/auxilios/20313/presenca-funcao-e-mecanismos-de-transdiferenciacao-de-miofibroblastos-nos-aumentos-gengivais-induzi/,Ciclosporinas##Miofibroblastos,158598##152428
/pt/auxilios/20462/estudo-in-vitro-do-efeito-da-radiacao-do-laser-de-er-crysgg-na-inibicao-do-processo-de-desminerali/,Desmineralização do dente##Esmalte dentário##Cárie dentária##Laser do estado sólido##Flúor,15800##2231##311##2517##312
/pt/auxilios/19437/investigacao-do-efeito-da-administracao-intermitente-de-hormonio-paratireoideo-na-periodontite-induz/,Doenças periodontais##Citocinas##Metaloproteases,5504##662##7081
/pt/auxilios/20157/efeito-da-terapia-com-laser-em-baixa-intensidadelilt-na-producao-de-proteinas-por-macrofagos-estim/,Citocinas##Cimentos endodônticos##Macrófagos##Inflamação,662##20501##663##665
/pt/auxilios/19786/estudo-de-mutacoes-nos-genes-hoxa1-e-hoxb1-no-dna-de-pacientes-portadores-da-sindrome-de-moebius/,Doenças do nervo facial##Síndrome de Möbius##Músculos faciais##Genes homeobox##Mutação##Amplificação do DNA##Análise de sequência de DNA,174722##174720##152823##14698##988##149550##8439
/pt/auxilios/19656/avaliacao-in-vitro-do-efeito-da-ciclagem-mecanica-sobre-a-resistencia-adesiva-entre-dentina-e-pinos/,Módulo de elasticidade##Resistência de união (odontologia)##Ciclagem mecânica,6464##11235##162947
/pt/auxilios/19795/avaliacao-da-resistencia-a-fratura-por-compressao-de-infraestruturas-de-proteses-fixas-adesivas-de-3/,Prótese parcial fixa##Porcelana dentária##Resistência à compressão##Resistência à fratura,7630##19804##174074##159845
/pt/auxilios/19916/fresamento-corretivo-de-estruturas-implanto-retidasinfluencia-na-adaptacao-marginal-e-na-confiabili/,Titânio##Adaptação marginal dentária##Ligas metálicas##Implantes osseointegrados,1363##159810##762##6051
/pt/auxilios/19945/silicones-para-proteses-faciais-efeito-do-tempo-de-armazenagem-da-desinfeccao-quimica-e-da-pigment/,Silicone,96
/pt/auxilios/19958/avaliacao-microbiana-de-canais-radiculares-infectados-antes-e-apos-o-preparo-quimico-mecanico-e-sua/,Micro-organismos##Instrumentação,166965##173518
/pt/auxilios/20025/modulacao-da-resposta-imune-em-doencas-periodontais-induzidas-experimentalmente/,Doenças periodontais##Óxido nítrico sintase tipo II,5504##17105
/pt/auxilios/20055/investigacao-e-quantificacao-de-endotoxinas-presentes-em-canais-radiculares-infectados-antes-e-depoi/,Canal radicular##Endotoxinas,4844##8605
/pt/auxilios/20108/avaliacao-da-desadaptacao-cervical-da-infiltracao-marginal-e-da-resistencia-a-tracao-de-casquetes-m/,Resistência à tração##Microinfiltração marginal##Implantes osseointegrados,6463##154545##6051
/pt/auxilios/19247/avaliacao-in-vitro-do-efeito-da-nicotina-cotinina-e-cafeina-sobre-a-microbiota-periodontal/,Nicotina##Anti-infecciosos##Biofilmes##Cafeína##Cotinina,7392##162377##733##5615##18841
/pt/auxilios/19369/1-estudo-da-longevidade-da-uniao-de-adesivos-autocondicionantes-aplicados-ao-esmalte-de-dentes-perm/,Microtração##Esmalte dentário##Microscopia eletrônica,159861##2231##3862
/pt/auxilios/19450/diagnostico-da-carie-oculta-oclusal-em-levantamentos-epidemiologicos-uma-comparacao-entre-exame-vis/,Odontologia em saúde coletiva##Diagnóstico bucal##Radiografia dentária##Cárie oclusal,19718##8397##152508##6605
/pt/auxilios/19515/efeitos-dos-controles-quimico-e-mecanico-de-placa-supragengival-na-recolonizacao-bacteriana-subgengi/,Clorexidina##Profilaxia dentária##Microbiologia,6243##150277##158001
/pt/auxilios/19602/deteccao-de-microrganismos-periodonto-patogenicos-avaliacao-de-fatores-e-indicadores-de-risco-e-sua/,Bactérias##Epidemiologia##Grupos etários##Fatores de risco,346##157796##14205##1076
