Pesquisador_link,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
/pt/pesquisador/7199/andrea-trevas-maciel-guerra/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,2,1,2,1,1
/pt/pesquisador/34246/camila-malta-romano/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,7,14,12,15,26,5
/pt/pesquisador/101670/valeria-aoki/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,14,20,25,8
/pt/pesquisador/3016/gabriel-forato-anhe/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10,6
/pt/pesquisador/92760/rene-jorge-abdalla/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,9,2
/pt/pesquisador/89451/carlos-eduardo-leite-arieta/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
/pt/pesquisador/683037/rui-imamura/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/pt/pesquisador/53788/carla-maria-ramos-germano/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/pt/pesquisador/682336/alexandre-leme-godoy-dos-santos/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/pt/pesquisador/41756/adriana-luchs/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4
/pt/pesquisador/682031/jeremy-andrew-squire/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,2
/pt/pesquisador/7708/eduardo-melani-rocha/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
/pt/pesquisador/75005/renata-rego-lins-fumis/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,11,10,17,21,6
/pt/pesquisador/673212/valdes-roberto-bollela/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4
/pt/pesquisador/682039/fabiola-isabel-suano-de-souza/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2
/pt/pesquisador/682507/fabio-de-rezende-pinna/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
/pt/pesquisador/680879/marcos-hortes-nisihara-chagas/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2
/pt/pesquisador/171719/suzana-erico-tanni-minamoto/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/pt/pesquisador/89722/jorge-sabbaga/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
/pt/pesquisador/56342/sabri-saeed-mohamed-ahmed-al-sanabani/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9,26,41,37,48,73,52,59,13
/pt/pesquisador/33528/paula-andrea-de-albuquerque-salles-navarro/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,21,19,19,19,20,32,43,43,52,12
/pt/pesquisador/104489/elbio-antonio-damico/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/pt/pesquisador/7204/sandra-scivoletto/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,4,2
/pt/pesquisador/669110/bertha-furlan-polegato/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2
/pt/pesquisador/88718/thais-mauad/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,6,7,6,13,32,36,7
/pt/pesquisador/172149/meliza-goi-roscani/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/pt/pesquisador/88650/maria-helena-bellini-marumo/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,11,11,16,13,16,10,10,5,5
/pt/pesquisador/50208/adriana-lino-dos-santos-franco/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,15,15,18,18,29,27,33,29,13
/pt/pesquisador/178813/fabiana-goulart-marcondes-braga/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/pt/pesquisador/673291/pedro-luiz-toledo-de-arruda-lourencao/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/pt/pesquisador/172175/carlos-eduardo-paiva/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,13,15,6,5
/pt/pesquisador/7627/ibsen-bellini-coimbra/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,4,3,5,1,4,1
/pt/pesquisador/51130/fernanda-degobbi-tenorio-quirino-dos-santos-lopes/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,14,3
/pt/pesquisador/22984/erasmo-simao-da-silva/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0
/pt/pesquisador/92022/jose-antonio-sanches-junior/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1
/pt/pesquisador/1003/wilma-terezinha-anselmo-lima/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,9,11,23,20,11,17,15,19,7
/pt/pesquisador/3418/gilka-jorge-figaro-gattas/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,1,1
/pt/pesquisador/677020/joao-nobrega-de-almeida-junior/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,5,1
/pt/pesquisador/164987/marcone-lima-sobreira/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,5,6,0,1
/pt/pesquisador/33728/wellerson-rodrigo-scarano/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,8,7,11,14,19,26,3
/pt/pesquisador/671663/ana-paula-ribeiro-paiotti/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1
/pt/pesquisador/33551/thais-martins-de-lima-salgado/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,2,1,2,7,8,12,2
/pt/pesquisador/177935/harley-francisco-de-oliveira/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
/pt/pesquisador/3108/carlos-roberto-veiga-kiffer/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,1,0,1,0,0
/pt/pesquisador/34177/luciano-cesar-pontes-de-azevedo/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,6
/pt/pesquisador/91034/selma-maria-michelin-matheus/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,6,1
/pt/pesquisador/328/vera-luiza-capelozzi/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,3,10,15,15,22,15,18,31,34,19
/pt/pesquisador/33301/maria-sol-brassesco-annichini/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,15,21,11,17,14,13,3,16,15,4
